index,n,metric,estimate
2014-12-15,7,mean_squared_error,1.9375474783571482
2014-12-15,7,mean_absolute_error,1.2866928571428577
2014-12-22,7,mean_absolute_error,6.639945714285715
2014-12-22,7,mean_squared_error,72.99296134657148
2014-12-29,7,mean_absolute_error,2.872655714285713
2014-12-29,7,mean_squared_error,19.719115596414298
2015-01-05,7,mean_absolute_error,2.862031428571427
2015-01-05,7,mean_squared_error,9.808264849885708
2015-01-12,7,mean_absolute_error,3.945360000000001
2015-01-12,7,mean_squared_error,22.92255358999998
2015-01-19,7,mean_absolute_error,2.298514285714288
2015-01-19,7,mean_squared_error,6.553303333971447
2015-01-26,7,mean_absolute_error,1.4511228571428572
2015-01-26,7,mean_squared_error,2.476753888399997
2015-02-02,7,mean_absolute_error,1.3202971428571435
2015-02-02,7,mean_squared_error,2.1521402218857184
2015-02-09,7,mean_absolute_error,1.4184157142857166
2015-02-09,7,mean_squared_error,2.634448393871437
2015-02-16,7,mean_squared_error,8.139352320699992
2015-02-16,7,mean_absolute_error,2.1741728571428576
2015-02-23,7,mean_squared_error,5.258290886785729
2015-02-23,7,mean_absolute_error,2.0795385714285755
2015-03-02,7,mean_squared_error,4.395934313428569
2015-03-02,7,mean_absolute_error,1.6046371428571422
2015-03-09,7,mean_absolute_error,2.8308028571428596
2015-03-09,7,mean_squared_error,12.232913773657149
2015-03-16,7,mean_squared_error,6.036733844742858
2015-03-16,7,mean_absolute_error,1.9856171428571447
2015-03-23,7,mean_absolute_error,2.3499999999999988
2015-03-23,7,mean_squared_error,8.21306420231429
2015-03-30,7,mean_absolute_error,0.6935257142857157
2015-03-30,7,mean_squared_error,1.2515352097714323
2015-04-06,7,mean_absolute_error,1.0478214285714296
2015-04-06,7,mean_squared_error,1.7540122041000046
2015-04-13,7,mean_absolute_error,1.7551557142857106
2015-04-13,7,mean_squared_error,3.6715662882428437
2015-04-20,7,mean_squared_error,6.173017886957139
2015-04-20,7,mean_absolute_error,2.3729242857142845
2015-04-27,7,mean_squared_error,3.421543410914286
2015-04-27,7,mean_absolute_error,1.183251428571426
2015-05-04,7,mean_absolute_error,0.9228242857142848
2015-05-04,7,mean_squared_error,0.9559220972428574
2015-05-11,7,mean_absolute_error,1.4438985714285693
2015-05-11,7,mean_squared_error,3.237433271957142
2015-05-18,7,mean_absolute_error,1.1348014285714272
2015-05-18,7,mean_squared_error,1.722353038414281
2015-05-25,7,mean_squared_error,32.107911583299995
2015-05-25,7,mean_absolute_error,3.5107499999999976
2015-06-01,7,mean_absolute_error,1.2315707142857149
2015-06-01,7,mean_squared_error,1.9008981251464294
2015-06-08,7,mean_absolute_error,3.95347071428571
2015-06-08,7,mean_squared_error,33.92963535824642
2015-06-15,7,mean_absolute_error,2.7988442857142837
2015-06-15,7,mean_squared_error,9.339135803614274
2015-06-22,7,mean_absolute_error,1.1956842857142846
2015-06-22,7,mean_squared_error,1.9285798022999951
2015-06-29,7,mean_absolute_error,3.1120299999999985
2015-06-29,7,mean_squared_error,20.593721941585734
2015-07-06,7,mean_absolute_error,2.3904814285714253
2015-07-06,7,mean_squared_error,9.258622174785694
2015-07-13,7,mean_absolute_error,3.0833757142857126
2015-07-13,7,mean_squared_error,14.824513348271426
2015-07-20,7,mean_squared_error,2.434446411128557
2015-07-20,7,mean_absolute_error,1.445698571428567
2015-07-27,7,mean_absolute_error,1.791417142857139
2015-07-27,7,mean_squared_error,3.6538750365428414
2015-08-03,7,mean_absolute_error,1.7992657142857114
2015-08-03,7,mean_squared_error,3.653930846971419
2015-08-10,7,mean_absolute_error,0.8388042857142847
2015-08-10,7,mean_squared_error,0.8023093393571405
2015-08-17,7,mean_absolute_error,1.4231157142857112
2015-08-17,7,mean_squared_error,3.8631199146999884
2015-08-24,7,mean_absolute_error,1.0819028571428528
2015-08-24,7,mean_squared_error,1.5345122989142743
2015-08-31,7,mean_absolute_error,1.5114928571428554
2015-08-31,7,mean_squared_error,3.137457592442856
2015-09-07,7,mean_absolute_error,3.0975214285714263
2015-09-07,7,mean_squared_error,30.274095234157127
2015-09-14,7,mean_absolute_error,1.5043028571428556
2015-09-14,7,mean_squared_error,2.9370455806285642
2015-09-21,7,mean_absolute_error,3.2006742857142845
2015-09-21,7,mean_squared_error,17.02942952414285
2015-09-28,7,mean_absolute_error,2.8839642857142826
2015-09-28,7,mean_squared_error,9.845081623985704
2015-10-05,7,mean_squared_error,5.960107266300007
2015-10-05,7,mean_absolute_error,2.2850014285714297
2015-10-12,7,mean_squared_error,5.724496810971421
2015-10-12,7,mean_absolute_error,2.2116999999999996
2015-10-19,7,mean_squared_error,7.040978341585706
2015-10-19,7,mean_absolute_error,2.5659271428571406
2015-10-26,7,mean_squared_error,12.342639399971418
2015-10-26,7,mean_absolute_error,3.047659999999999
2015-11-02,7,mean_absolute_error,1.730668571428571
2015-11-02,7,mean_squared_error,4.218741747371428
2015-11-09,7,mean_absolute_error,2.160967142857143
2015-11-09,7,mean_squared_error,7.2786416866142805
2015-11-16,7,mean_absolute_error,2.0208028571428573
2015-11-16,7,mean_squared_error,5.477389617199996
2015-11-23,7,mean_squared_error,64.32729321280009
2015-11-23,7,mean_absolute_error,5.787634285714288
2015-11-30,7,mean_squared_error,8.944361169385717
2015-11-30,7,mean_absolute_error,2.7128271428571433
2015-12-07,7,mean_squared_error,58.08288682217141
